customer_id,customer_age,gender,location,join_date
1,40,Male,Texas,2020-01-01 00:00:00.000000000
2,33,Female,New York,2020-01-02 11:04:30.270270270
3,42,Male,Illinois,2020-01-03 22:09:00.540540540
4,53,Female,Texas,2020-01-05 09:13:30.810810810
5,32,Male,Texas,2020-01-06 20:18:01.081081081
6,32,Male,New York,2020-01-08 07:22:31.351351351
7,53,Male,Illinois,2020-01-09 18:27:01.621621621
8,44,Male,Florida,2020-01-11 05:31:31.891891891
9,29,Female,Illinois,2020-01-12 16:36:02.162162162
10,41,Male,California,2020-01-14 03:40:32.432432432
11,29,Female,Florida,2020-01-15 14:45:02.702702702
12,29,Male,Texas,2020-01-17 01:49:32.972972973
13,37,Male,Florida,2020-01-18 12:54:03.243243243
14,18,Male,Texas,2020-01-19 23:58:33.513513513
15,18,Female,Texas,2020-01-21 11:03:03.783783783
16,28,Male,Florida,2020-01-22 22:07:34.054054054
17,22,Female,Texas,2020-01-24 09:12:04.324324324
18,38,Female,Texas,2020-01-25 20:16:34.594594594
19,24,Female,California,2020-01-27 07:21:04.864864865
20,18,Female,Illinois,2020-01-28 18:25:35.135135135
21,52,Female,Illinois,2020-01-30 05:30:05.405405405
22,32,Female,California,2020-01-31 16:34:35.675675675
23,35,Female,Florida,2020-02-02 03:39:05.945945946
24,18,Female,New York,2020-02-03 14:43:36.216216216
25,28,Female,New York,2020-02-05 01:48:06.486486486
26,36,Male,New York,2020-02-06 12:52:36.756756756
27,21,Male,California,2020-02-07 23:57:07.027027027
28,39,Male,California,2020-02-09 11:01:37.297297297
29,27,Male,Texas,2020-02-10 22:06:07.567567567
30,31,Male,New York,2020-02-12 09:10:37.837837837
31,27,Female,Florida,2020-02-13 20:15:08.108108108
32,57,Female,Florida,2020-02-15 07:19:38.378378378
33,34,Female,New York,2020-02-16 18:24:08.648648648
34,22,Female,New York,2020-02-18 05:28:38.918918919
35,44,Female,New York,2020-02-19 16:33:09.189189189
36,20,Female,California,2020-02-21 03:37:39.459459459
37,37,Female,California,2020-02-22 14:42:09.729729730
38,18,Male,California,2020-02-24 01:46:40.000000000
39,19,Male,Illinois,2020-02-25 12:51:10.270270270
40,37,Male,Florida,2020-02-26 23:55:40.540540540
41,43,Male,Florida,2020-02-28 11:00:10.810810811
42,37,Female,Texas,2020-02-29 22:04:41.081081081
43,33,Female,California,2020-03-02 09:09:11.351351351
44,31,Female,Illinois,2020-03-03 20:13:41.621621621
45,18,Male,Illinois,2020-03-05 07:18:11.891891892
46,26,Female,Florida,2020-03-06 18:22:42.162162162
47,29,Female,California,2020-03-08 05:27:12.432432432
48,47,Female,Texas,2020-03-09 16:31:42.702702702
49,39,Male,California,2020-03-11 03:36:12.972972973
50,18,Female,New York,2020-03-12 14:40:43.243243243
51,38,Male,California,2020-03-14 01:45:13.513513513
52,30,Male,New York,2020-03-15 12:49:43.783783784
53,26,Male,New York,2020-03-16 23:54:14.054054054
54,42,Male,Texas,2020-03-18 10:58:44.324324324
55,47,Female,Florida,2020-03-19 22:03:14.594594594
56,46,Male,California,2020-03-21 09:07:44.864864865
57,24,Male,New York,2020-03-22 20:12:15.135135135
58,31,Female,California,2020-03-24 07:16:45.405405405
59,38,Female,Florida,2020-03-25 18:21:15.675675675
60,46,Male,Florida,2020-03-27 05:25:45.945945946
61,29,Female,Illinois,2020-03-28 16:30:16.216216216
62,32,Male,Florida,2020-03-30 03:34:46.486486486
63,21,Male,Texas,2020-03-31 14:39:16.756756756
64,20,Male,New York,2020-04-02 01:43:47.027027027
65,44,Male,Illinois,2020-04-03 12:48:17.297297297
66,51,Female,Texas,2020-04-04 23:52:47.567567567
67,34,Male,California,2020-04-06 10:57:17.837837838
68,47,Female,New York,2020-04-07 22:01:48.108108108
69,39,Female,Florida,2020-04-09 09:06:18.378378378
70,27,Female,New York,2020-04-10 20:10:48.648648648
71,39,Female,California,2020-04-12 07:15:18.918918919
72,53,Male,Illinois,2020-04-13 18:19:49.189189189
73,34,Female,Illinois,2020-04-15 05:24:19.459459460
74,53,Male,Illinois,2020-04-16 16:28:49.729729730
75,18,Female,Florida,2020-04-18 03:33:20.000000000
76,44,Female,Texas,2020-04-19 14:37:50.270270270
77,36,Male,Texas,2020-04-21 01:42:20.540540540
78,31,Male,New York,2020-04-22 12:46:50.810810810
79,36,Male,Florida,2020-04-23 23:51:21.081081080
80,18,Female,Illinois,2020-04-25 10:55:51.351351350
81,32,Female,Illinois,2020-04-26 22:00:21.621621622
82,39,Male,California,2020-04-28 09:04:51.891891892
83,52,Male,California,2020-04-29 20:09:22.162162162
84,28,Male,Illinois,2020-05-01 07:13:52.432432432
85,25,Male,Illinois,2020-05-02 18:18:22.702702702
86,28,Female,Florida,2020-05-04 05:22:52.972972972
87,45,Male,Texas,2020-05-05 16:27:23.243243242
88,38,Male,California,2020-05-07 03:31:53.513513514
89,28,Male,Texas,2020-05-08 14:36:23.783783784
90,41,Male,Florida,2020-05-10 01:40:54.054054054
91,36,Female,Illinois,2020-05-11 12:45:24.324324324
92,46,Male,Texas,2020-05-12 23:49:54.594594594
93,26,Female,Illinois,2020-05-14 10:54:24.864864864
94,31,Male,Illinois,2020-05-15 21:58:55.135135134
95,30,Male,New York,2020-05-17 09:03:25.405405404
96,18,Female,Texas,2020-05-18 20:07:55.675675676
97,38,Male,Texas,2020-05-20 07:12:25.945945946
98,38,Female,Illinois,2020-05-21 18:16:56.216216216
99,35,Female,Florida,2020-05-23 05:21:26.486486486
100,32,Male,New York,2020-05-24 16:25:56.756756756
101,18,Female,Illinois,2020-05-26 03:30:27.027027026
102,29,Female,California,2020-05-27 14:34:57.297297296
103,30,Female,California,2020-05-29 01:39:27.567567568
104,25,Female,New York,2020-05-30 12:43:57.837837838
105,33,Female,Florida,2020-05-31 23:48:28.108108108
106,39,Female,Illinois,2020-06-02 10:52:58.378378378
107,57,Female,Texas,2020-06-03 21:57:28.648648648
108,37,Female,New York,2020-06-05 09:01:58.918918918
109,38,Male,Florida,2020-06-06 20:06:29.189189188
110,34,Male,Texas,2020-06-08 07:10:59.459459458
111,18,Female,California,2020-06-09 18:15:29.729729730
112,34,Male,California,2020-06-11 05:20:00.000000000
113,35,Female,Texas,2020-06-12 16:24:30.270270270
114,64,Female,New York,2020-06-14 03:29:00.540540540
115,32,Male,California,2020-06-15 14:33:30.810810810
116,38,Female,Illinois,2020-06-17 01:38:01.081081080
117,34,Female,Texas,2020-06-18 12:42:31.351351350
118,20,Female,Texas,2020-06-19 23:47:01.621621622
119,48,Female,California,2020-06-21 10:51:31.891891892
